filename,predicted_score
Speaker_0013_00000.wav,3.2
Speaker_0013_00001.wav,3.25
Speaker_0013_00002.wav,3.01
Speaker_0013_00003.wav,2.89
Speaker_0013_00004.wav,2.97
Speaker_0013_00005.wav,3.27
Speaker_0013_00006.wav,2.96
Speaker_0013_00007.wav,3.15
Speaker_0013_00008.wav,3.26
Speaker_0013_00009.wav,3.05
Speaker_0013_00010.wav,3.33
Speaker_0013_00011.wav,3.43
Speaker_0013_00012.wav,3.46
Speaker_0013_00013.wav,3.2
Speaker_0013_00014.wav,3.39
Speaker_0013_00015.wav,3.3
Speaker_0013_00016.wav,3.29
Speaker_0013_00017.wav,3.04
Speaker_0013_00018.wav,3.26
Speaker_0013_00019.wav,2.99
Speaker_0013_00020.wav,3.15
Speaker_0013_00021.wav,3.32
Speaker_0013_00022.wav,3.17
Speaker_0013_00023.wav,3.29
Speaker_0013_00024.wav,3.24
Speaker_0013_00025.wav,3.41
Speaker_0013_00026.wav,3.19
Speaker_0013_00027.wav,3.38
Speaker_0013_00028.wav,3.53
Speaker_0013_00029.wav,3.38
Speaker_0013_00030.wav,3.32
Speaker_0013_00031.wav,3.07
Speaker_0013_00032.wav,3.4
Speaker_0013_00033.wav,3.12
Speaker_0013_00034.wav,3.36
Speaker_0013_00035.wav,3.42
Speaker_0013_00036.wav,2.73
Speaker_0014_00000.wav,2.46
Speaker_0014_00001.wav,2.76
Speaker_0014_00002.wav,2.61
Speaker_0014_00003.wav,2.73
Speaker_0014_00004.wav,2.6
Speaker_0014_00005.wav,2.58
Speaker_0014_00006.wav,2.59
Speaker_0014_00007.wav,2.58
Speaker_0014_00008.wav,2.64
Speaker_0014_00009.wav,2.57
Speaker_0014_00010.wav,2.41
Speaker_0014_00011.wav,2.64
Speaker_0014_00012.wav,2.24
Speaker_0014_00013.wav,2.48
Speaker_0014_00014.wav,2.5
Speaker_0014_00015.wav,2.3
Speaker_0014_00016.wav,2.42
Speaker_0014_00017.wav,2.24
Speaker_0014_00018.wav,2.57
Speaker_0014_00019.wav,2.18
Speaker_0014_00020.wav,2.49
Speaker_0014_00021.wav,2.64
Speaker_0014_00022.wav,2.67
Speaker_0014_00023.wav,2.65
Speaker_0014_00024.wav,2.53
Speaker_0014_00025.wav,2.72
Speaker_0014_00026.wav,2.56
Speaker_0014_00027.wav,2.68
Speaker_0014_00028.wav,2.68
Speaker_0014_00029.wav,2.24
Speaker_0014_00030.wav,2.65
Speaker_0014_00031.wav,2.74
Speaker_0014_00032.wav,2.75
Speaker_0014_00033.wav,2.92
Speaker_0014_00034.wav,2.67
Speaker_0014_00035.wav,2.78
Speaker_0014_00036.wav,2.47
Speaker_0014_00037.wav,2.56
Speaker_0014_00038.wav,2.77
Speaker_0014_00039.wav,2.56
Speaker_0014_00040.wav,2.61
Speaker_0014_00041.wav,2.8
Speaker_0014_00042.wav,2.68
Speaker_0014_00043.wav,2.88
Speaker_0014_00044.wav,2.54
Speaker_0014_00045.wav,2.5
Speaker_0014_00046.wav,2.7
Speaker_0014_00047.wav,2.78
Speaker_0014_00048.wav,2.62
Speaker_0014_00049.wav,2.79
Speaker_0014_00050.wav,2.46
Speaker_0017_00000.wav,2.78
Speaker_0017_00001.wav,2.6
Speaker_0017_00002.wav,2.55
Speaker_0017_00003.wav,2.48
Speaker_0017_00004.wav,2.61
Speaker_0017_00005.wav,2.7
Speaker_0017_00006.wav,2.65
Speaker_0017_00007.wav,2.5
Speaker_0017_00008.wav,2.5
Speaker_0017_00009.wav,2.72
Speaker_0017_00010.wav,2.32
Speaker_0017_00011.wav,2.21
Speaker_0017_00012.wav,2.39
Speaker_0017_00013.wav,2.58
Speaker_0017_00014.wav,2.46
Speaker_0017_00015.wav,2.42
Speaker_0017_00016.wav,2.24
Speaker_0017_00017.wav,2.27
Speaker_0017_00018.wav,2.44
Speaker_0017_00019.wav,2.34
Speaker_0017_00020.wav,2.62
Speaker_0017_00021.wav,2.32
Speaker_0017_00022.wav,2.79
Speaker_0017_00023.wav,2.74
Speaker_0017_00024.wav,2.5
Speaker_0017_00025.wav,2.66
Speaker_0017_00026.wav,2.61
Speaker_0017_00027.wav,2.46
Speaker_0017_00028.wav,2.5
Speaker_0017_00029.wav,2.74
Speaker_0017_00030.wav,2.45
Speaker_0017_00031.wav,2.68
Speaker_0017_00032.wav,2.59
Speaker_0017_00033.wav,2.58
Speaker_0017_00034.wav,2.88
Speaker_0017_00035.wav,2.38
Speaker_0017_00036.wav,2.39
Speaker_0017_00037.wav,2.79
Speaker_0017_00038.wav,2.63
Speaker_0017_00039.wav,2.72
Speaker_0017_00040.wav,2.82
Speaker_0017_00041.wav,2.78
Speaker_0017_00042.wav,2.76
Speaker_0017_00043.wav,2.75
